ID,Main,Location,Corporation,Href,Date
0,Embedded Software Engineer C++ (f/m/d) (Budapest)Bérezés: nettó 1 500 000 - 2 000 000 Ft /,hó,Cinemo GmbH,/allas/embedded_software_engineer_c_fmd/UO-2521#adtype=dirCU,2023-04-04
1,Junior SAP FI alkalmazás támogató és folyamatfejlesztő,Budapest,Vöröskő Kft.,/allas/junior_sap_fi_alkalmazas_tamogato_es_folyamatfejleszto/TU-6273#adtype=dirCU,2023-04-04
2,.Net fejlesztő,Budapest,HVG Kiadó Zrt.,/allas/net_fejleszto/MO-6652#adtype=dirOA,2023-04-04
3,Kutatási menedzser,Budapest,HVG Kiadó Zrt.,/allas/kutatasi_menedzser/VF-5334#adtype=dirOA,2023-04-04
4,Rendszergazda,Budaörs,Osz-Car Parts Kft.,/allas/rendszergazda/UY-5739#adtype=dirOA,2023-04-04
5,Tesztmenedzser,Budapest,Vöröskő Kft.,/allas/tesztmenedzser/TX-7280#adtype=dirCU,2023-04-04
6,SENIOR SOFTWARE ARCHITECT,Budapest,HVG Kiadó Zrt.,/allas/senior_software_architect/AZ-7219#adtype=dirOA,2023-04-04
7,FEJLESZTÉSI PROJEKTVEZETŐ (Borsod-Abaúj-Zemplén,megye,HumanField Kft.,/allas/fejlesztesi_projektvezeto/LQ-0219#adtype=indOA,2023-04-04
8,Hardver tervező mérnök,Budapest,BHE Bonn Hungary Elektronikai Kft. ,/allas/hardver_tervezo_mernok/VZ-9870#adtype=dirOA,2023-04-04
9,IT szolgáltatásmenedzser,Budapest,BKV Zrt.,/allas/it_szolgaltatasmenedzser/RJ-3556#adtype=dirCU,2023-04-04
10,Projektvezető,Budapest,Consortix Kft.,/allas/projektvezeto/QS-1952#adtype=dirOA,2023-04-04
11,Junior szoftverfejlesztő,Budapest,Consortix Kft.,/allas/junior_szoftverfejleszto/OZ-4870#adtype=dirOA,2023-04-04
12,"Szoftverfejlesztő (senior) (Budapest),",Veszprém,CAE Healthcare Kft.,/allas/szoftverfejleszto_senior_budapest/AS-0603#adtype=dirOA,2023-04-04
13,IT adminisztrátor és projekt koordinátor,Budapest,Vöröskő Kft.,/allas/it_adminisztrator_es_projekt_koordinator/LU-5240#adtype=dirCU,2023-04-04
14,IT kontroller,Budapest,BKV Zrt.,/allas/it_kontroller/VS-4173#adtype=dirCU,2023-04-04
15,GYENGEÁRAMÚ HÁLÓZATTELEPITŐ,Budapest,Best Hunters Tanácsadó Iroda,/allas/gyengearamu_halozattelepito/HA-9138#adtype=indOA,2023-04-04
16,IT/Telekommunikációs mérnök,Magyarország,Dream Bells Kft.,/allas/ittelekommunikacios_mernok/KS-6740#adtype=dirOA,2023-04-04
17,rendszergazda,Budapest,TeVeComp 2009 Kft.,/allas/rendszergazda/UI-0844#adtype=dirOA,2023-04-04
18,Lead MySQL-MariaDB Database Administrator,Budapest,Euronet Services Kft.,/allas/lead_mysql_mariadb_database_administrator/ZE-3060#adtype=dirOA,2023-04-04
19,Szoftverfejlesztő mérnök - beágyazott rendszerekhez (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftverfejleszto_mernok_beagyazott_rendszerekhez_veszprem/FR-8178#adtype=dirCU,2023-04-04
20,People Lead - Devops (REF1105J),Budapest,Deutsche Telekom IT Solutions,/allas/people_lead_devops_ref1105j/YL-9534#adtype=dirCU,2023-04-04
21,SAP PP supporter,Budapest,Thyssenkrupp,/allas/sap_pp_supporter/RW-9523#adtype=dirCU,2023-04-04
22,Szoftverfejlesztő mérnök (Indusztrializáció),Budapest,Thyssenkrupp,/allas/szoftverfejleszto_mernok_indusztrializacio/XN-2814#adtype=dirCU,2023-04-04
23,English speaking Linux System Administrator (REF1626K),Budapest,Deutsche Telekom IT Solutions,/allas/english_speaking_linux_system_administrator_ref1626k/RR-8624#adtype=dirCU,2023-04-04
24,Security Analyst (REF92A),Budapest,Deutsche Telekom IT Solutions,/allas/security_analyst_ref92a/IP-7970#adtype=dirCU,2023-04-04
25,SAP konzulens - EDI,Budapest,Thyssenkrupp,/allas/sap_konzulens_edi/HP-1999#adtype=dirCU,2023-04-04
26,Szoftver architect (Veszprém),Veszprém,Thyssenkrupp,/allas/szoftver_architect_veszprem/QP-9536#adtype=dirCU,2023-04-04
27,Service Chain Operations Manager (REF1566A),Budapest,Deutsche Telekom IT Solutions,/allas/service_chain_operations_manager_ref1566a/NV-2768#adtype=dirCU,2023-04-04
28,Medior Backend fejlesztő német nyelvtudással (REF954Z),Budapest,Deutsche Telekom IT Solutions,/allas/medior_backend_fejleszto_nemet_nyelvtudassal_ref954z/BY-7611#adtype=dirCU,2023-04-04
29,Applikációs funkciófejlesztő mérnök (MATLAB/Simulink),Budapest,Thyssenkrupp,/allas/applikacios_funkciofejleszto_mernok_matlabsimulink/XD-6392#adtype=dirCU,2023-04-04
30,Windows System Administrator (REF1609M),Budapest,Deutsche Telekom IT Solutions,/allas/windows_system_administrator_ref1609m/WO-1106#adtype=dirCU,2023-04-04
31,Senior Project Manager (REF1450G),Budapest,Deutsche Telekom IT Solutions,/allas/senior_project_manager_ref1450g/PC-2441#adtype=dirCU,2023-04-04
32,Experienced/Senior Data Engineer (REF1603Y),Budapest,Deutsche Telekom IT Solutions,/allas/experiencedsenior_data_engineer_ref1603y/EJ-7644#adtype=dirCU,2023-04-04
33,Java/SQL Developer (REF1525S),Budapest,Deutsche Telekom IT Solutions,/allas/javasql_developer_ref1525s/RQ-2237#adtype=dirCU,2023-04-04
34,Software Engineer (CyberArk) (REF1366M),Budapest,Deutsche Telekom IT Solutions,/allas/software_engineer_cyberark_ref1366m/ZX-8653#adtype=dirCU,2023-04-04
35,Szoftver tesztautomatizáló mérnök (Szeged),Szeged,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok_szeged/AD-9155#adtype=dirCU,2023-04-04
36,"HARDWARE MÉRNÖK - FEJLESZTÉS, GYÁRTÁSTÁMOGATÁS (Pályakezdők jelentkezését is várjuk!)",Veszprém,IMPC Personnel Hungária Kft.,/allas/hardware_mernok_fejlesztes_gyartastamogatas_palyakezdok_jelentkezeset_is_varjuk/ID-6617#adtype=indCU,2023-04-04
37,Szoftver tesztautomatizáló mérnök,Győr,Thyssenkrupp,/allas/szoftver_tesztautomatizalo_mernok/AS-7808#adtype=dirCU,2023-04-04
38,Szoftverintegrációs tesztautomatizáló mérnök,Budapest,Thyssenkrupp,/allas/szoftverintegracios_tesztautomatizalo_mernok/XT-0885#adtype=dirCU,2023-04-04
39,Test Engineer (Jira),Budapest,Thyssenkrupp,/allas/test_engineer_jira/PL-9744#adtype=dirCU,2023-04-04
40,Process and Service Management (REF1237Q),Budapest,Deutsche Telekom IT Solutions,/allas/process_and_service_management_ref1237q/ER-0343#adtype=dirCU,2023-04-04
41,DevOps Engineer (VNI 1 NNA_ACC Squad) (REF220B),Budapest,Deutsche Telekom IT Solutions,/allas/devops_engineer_vni_1_nnaacc_squad_ref220b/QW-8639#adtype=dirCU,2023-04-04
42,Senior Scrum Master (REF1588F),Budapest,Deutsche Telekom IT Solutions,/allas/senior_scrum_master_ref1588f/WD-2324#adtype=dirCU,2023-04-04
43,Frontend fejlesztő -német nyelvtudással (REF731J),Budapest,Deutsche Telekom IT Solutions,/allas/frontend_fejleszto_nemet_nyelvtudassal_ref731j/RM-3344#adtype=dirCU,2023-04-04
44,Test architect,Budapest,Thyssenkrupp,/allas/test_architect/GV-1208#adtype=dirCU,2023-04-04
45,DevOps Engineer,Magyarország,Deutsche Telekom IT Solutions,/allas/devops_engineer/QM-6475#adtype=dirCU,2023-04-04
46,Control System Engineer (Debrecen),Debrecen,Thyssenkrupp,/allas/control_system_engineer_debrecen/PN-7833#adtype=dirCU,2023-04-04
47,Tapasztalt tesztelő (Audi) (REF1598Y),Budapest,Deutsche Telekom IT Solutions,/allas/tapasztalt_tesztelo_audi_ref1598y/VK-3882#adtype=dirCU,2023-04-04
48,Azure DevOps Engineer (REF1580B),Budapest,Deutsche Telekom IT Solutions,/allas/azure_devops_engineer_ref1580b/CM-4794#adtype=dirCU,2023-04-04
49,It koordinátor (Fejér,megye,IMPC Personnel Hungária Kft.,/allas/it_koordinator/KV-8552#adtype=indCU,2023-04-04
50,Product Owner Telco / Identification and Access management (REF1614C),Budapest,Deutsche Telekom IT Solutions,/allas/product_owner_telco_identification_and_access_management_ref1614c/JO-9375#adtype=dirCU,2023-04-04
51,Technical Process Manager (REF1591N),Debrecen,Deutsche Telekom IT Solutions,/allas/technical_process_manager_ref1591n/EH-9643#adtype=dirCU,2023-04-04
52,Lead Designer in Test & Operations automation (REF1534Q),Budapest,Deutsche Telekom IT Solutions,/allas/lead_designer_in_test_operations_automation_ref1534q/HF-1878#adtype=dirCU,2023-04-04
53,SW Tool Project Leader,Budapest,Thyssenkrupp,/allas/sw_tool_project_leader/NK-2158#adtype=dirCU,2023-04-04
54,Hardverfejlesztési folyamatgazda,Budapest,Thyssenkrupp,/allas/hardverfejlesztesi_folyamatgazda/KG-1104#adtype=dirCU,2023-04-04
55,Devops fejlesztő/üzemeltető (REF170P),Budapest,Deutsche Telekom IT Solutions,/allas/devops_fejlesztouzemelteto_ref170p/PQ-2556#adtype=dirCU,2023-04-04
56,Windows-Linux System Administrator (REF1608O),Budapest,Deutsche Telekom IT Solutions,/allas/windows_linux_system_administrator_ref1608o/OF-2505#adtype=dirCU,2023-04-04
57,Application Support Engineer,Budapest,Thyssenkrupp,/allas/application_support_engineer/ZA-9924#adtype=dirCU,2023-04-04
58,Quality & Process Coordinator - REF1585O,Debrecen,Deutsche Telekom IT Solutions,/allas/quality_process_coordinator_ref1585o/PQ-2333#adtype=dirCU,2023-04-04
